Statistical profiling result from isolate-0x110008000-3626-v8.log, (3450 ticks, 12 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.1%    0.1%  RegExp: ^extends?\b
      2    0.1%    0.1%  RegExp: ^(if|unless|else if|else)\b([^\n]*)
      2    0.1%    0.1%  LazyCompile: *walk.includeDependencies /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/pug-filters/lib/handle-filters.js:12:22
      2    0.1%    0.1%  LazyCompile: *visitTag /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/pug-code-gen/index.js:521:21
      2    0.1%    0.1%  LazyCompile: *t.<computed> /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/babel-types/lib/index.js:346:36
      2    0.1%    0.1%  LazyCompile: *stringify /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/js-stringify/index.js:4:19
      2    0.1%    0.1%  LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      2    0.1%    0.1%  LazyCompile: *pp.eat /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn/dist/acorn.js:534:20
      2    0.1%    0.1%  LazyCompile: *pp$7.next /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/is-expression/node_modules/acorn/dist/acorn.js:2676:21
      2    0.1%    0.1%  LazyCompile: *pp$7.getTokenFromCode /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn/dist/acorn.js:2686:35
      2    0.1%    0.1%  LazyCompile: *pp$3.parseSubscripts /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/babylon/lib/index.js:3507:33
      2    0.1%    0.1%  LazyCompile: *pp$3.parseSubscripts /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:1883:32
      2    0.1%    0.1%  LazyCompile: *pp$3.parseMaybeAssign /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:1735:33
      2    0.1%    0.1%  LazyCompile: *pp$3.parseExprAtom /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:1931:30
      2    0.1%    0.1%  LazyCompile: *pp$1.parseStatement /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:720:31
      2    0.1%    0.1%  LazyCompile: *case /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/pug-lexer/index.js:766:19
      2    0.1%    0.1%  LazyCompile: *blank /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/pug-lexer/index.js:315:18
      2    0.1%    0.1%  LazyCompile: *advance /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/pug-parser/index.js:69:20
      2    0.1%    0.1%  LazyCompile: *Module._nodeModulePaths internal/modules/cjs/loader.js:575:37
      1    0.0%    0.0%  RegExp: ^yield
      1    0.0%    0.0%  RegExp: ^mixin +([-\w]+)(?: *\((.*)\))? *
      1    0.0%    0.0%  RegExp: ^extends?\b {1}
      1    0.0%    0.0%  RegExp: ^\/games\/?$
      1    0.0%    0.0%  RegExp: ^\.([_a-z0-9\-]*[_a-z][_a-z0-9\-]*)
      1    0.0%    0.0%  RegExp: ^\.
      1    0.0%    0.0%  RegExp: ^-
      1    0.0%    0.0%  RegExp: ^(break|case|catch|continue|debugger|default|do|else|finally|for|function|if|return|switch|throw|try|var|while|with|null|true|false|instanceof|typeof|void|delete|new|in|this|const|class|extends|export|import|super)$ {1}
      1    0.0%    0.0%  RegExp: ^(break|case|catch|continue|debugger|default|do|else|finally|for|function|if|return|switch|throw|try|var|while|with|null|true|false|instanceof|typeof|void|delete|new|in|this|const|class|extends|export|import|super)$
      1    0.0%    0.0%  RegExp: ^(\w(?:[-:\w]*\w)?)
      1    0.0%    0.0%  RegExp: ^(Named)?Block$
      1    0.0%    0.0%  RegExp: ^(?:each|for)\b
      1    0.0%    0.0%  RegExp: ^&attributes\b
      1    0.0%    0.0%  RegExp: ^#\{
      1    0.0%    0.0%  RegExp: [ \n\t]
      1    0.0%    0.0%  LazyCompile: *visitBlock /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/pug-code-gen/index.js:364:23
      1    0.0%    0.0%  LazyCompile: *tt.parenR.updateContext.tt.braceR.updateContext /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn/dist/acorn.js:2330:63
      1    0.0%    0.0%  LazyCompile: *tt.parenL.updateContext /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn/dist/acorn.js:2356:37
      1    0.0%    0.0%  LazyCompile: *tokEnd /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/pug-lexer/index.js:134:19
      1    0.0%    0.0%  LazyCompile: *tag /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/pug-lexer/index.js:369:16
      1    0.0%    0.0%  LazyCompile: *skipThrough /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn/dist/walk.js:162:23
      1    0.0%    0.0%  LazyCompile: *scanEndOfLine /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/pug-lexer/index.js:197:27
      1    0.0%    0.0%  LazyCompile: *resolve path.js:973:10
      1    0.0%    0.0%  LazyCompile: *readWord1 /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/babylon/lib/index.js:1469:53
      1    0.0%    0.0%  LazyCompile: *pp.expect /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:616:21
      1    0.0%    0.0%  LazyCompile: *pp$7.readNumber /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:3131:27
      1    0.0%    0.0%  LazyCompile: *pp$7.finishToken /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:2828:28
      1    0.0%    0.0%  LazyCompile: *pp$7.finishOp /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn/dist/acorn.js:2759:27
      1    0.0%    0.0%  LazyCompile: *pp$6.updateContext /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn/dist/acorn.js:2318:32
      1    0.0%    0.0%  LazyCompile: *pp$6.processComment /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/babylon/lib/index.js:4498:32
      1    0.0%    0.0%  LazyCompile: *pp$3.parseSubscripts /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn/dist/acorn.js:1721:34
      1    0.0%    0.0%  LazyCompile: *pp$3.parseMaybeUnary /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:1828:32
      1    0.0%    0.0%  LazyCompile: *pp$3.parseMaybeAssign /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn/dist/acorn.js:1586:35
      1    0.0%    0.0%  LazyCompile: *pp$3.parseIdent /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/is-expression/node_modules/acorn/dist/acorn.js:2429:27
      1    0.0%    0.0%  LazyCompile: *pp$3.parseExprSubscripts /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/is-expression/node_modules/acorn/dist/acorn.js:1870:36
      1    0.0%    0.0%  LazyCompile: *pp$3.parseExprSubscripts /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:1870:36
      1    0.0%    0.0%  LazyCompile: *pp$3.parseExprAtom /Users/nickfarni/Documents/GitHub/NodeDebuggingAndPerformance/node_modules/acorn/dist/acorn.js:1759:32
